Czas [ms]	 Przyspieszenie obudowy [m/s^2]	 Przyspieszenie eliminatora  [m/s^2]	Pr�dko�� obrotowa [obr/sek]
303841	8,080000	8,040000	9,250000
303848	7,190000	7,350000	9,250000
303854	7,680000	7,960000	9,250000
303861	9,440000	9,980000	9,250000
303868	11,210000	11,720000	9,250000
303875	12,220000	12,170000	9,250000
303882	11,900000	11,500000	9,250000
303889	10,230000	9,980000	9,250000
303896	8,520000	8,430000	9,250000
303902	7,430000	7,400000	9,250000
303909	7,570000	8,030000	9,250000
303917	9,020000	9,510000	9,250000
303924	10,880000	11,410000	9,250000
303930	11,980000	12,120000	9,250000
303937	11,790000	11,440000	9,250000
303944	10,610000	10,130000	9,250000
303951	8,800000	8,590000	9,250000
303959	7,690000	7,830000	9,250000
303965	7,750000	8,070000	9,250000
303972	8,780000	9,240000	9,250000
303979	10,540000	10,820000	9,250000
303986	11,690000	11,770000	9,250000
303992	11,730000	11,610000	9,250000
304000	10,510000	10,260000	9,250000
304007	9,160000	8,930000	9,250000
304014	8,000000	8,060000	9,250000
304020	7,840000	8,170000	9,250000
304027	8,840000	9,220000	9,250000
304034	10,100000	10,490000	9,250000
304041	11,320000	11,500000	9,250000
304048	11,620000	11,470000	9,250000
304055	10,790000	10,490000	9,250000
304062	9,320000	9,120000	9,250000
304069	8,270000	8,230000	9,250000
304075	8,050000	8,340000	9,250000
304082	8,720000	9,190000	9,250000
304090	10,040000	10,380000	9,250000
304097	11,020000	11,150000	9,250000
304103	11,360000	11,260000	9,250000
304110	10,820000	10,620000	9,250000
304117	9,600000	9,380000	9,250000
304124	8,610000	8,530000	9,250000
304131	8,320000	8,460000	9,250000
304138	8,880000	9,160000	9,250000
304145	9,790000	10,110000	9,250000
304151	10,790000	10,890000	9,250000
304158	11,160000	11,070000	9,250000
304165	10,640000	10,490000	9,250000
304173	9,760000	9,630000	9,250000
304180	8,810000	8,740000	9,250000
304186	8,460000	8,620000	9,250000
304193	8,890000	9,230000	9,250000
304200	9,790000	10,060000	9,250000
304206	10,570000	10,730000	9,250000
304214	10,950000	11,020000	9,250000
304221	10,600000	10,470000	9,250000
304228	9,720000	9,720000	9,250000
304235	8,960000	8,970000	9,250000
304241	8,670000	8,730000	9,250000
304248	8,970000	9,280000	9,250000
304256	9,730000	10,030000	9,250000
304262	10,400000	10,610000	9,250000
304269	10,740000	10,700000	9,250000
304276	10,430000	10,380000	9,250000
304283	9,790000	9,660000	9,250000
304290	9,050000	9,070000	9,250000
304296	8,800000	8,870000	9,250000
304304	9,070000	9,290000	9,250000
304311	9,700000	9,930000	9,250000
304317	10,340000	10,460000	9,250000
304324	10,660000	10,680000	9,250000
304331	10,360000	10,230000	9,250000
304338	9,690000	9,590000	9,250000
304345	9,140000	9,170000	9,250000
304352	8,910000	8,950000	9,250000
304359	9,160000	9,420000	9,250000
304366	9,790000	10,040000	9,250000
304372	10,350000	10,490000	9,250000
304379	10,520000	10,570000	9,250000
304387	10,270000	10,240000	9,250000
304394	9,730000	9,640000	9,250000
304401	9,200000	9,220000	9,250000
304407	8,950000	9,060000	9,250000
304414	9,270000	9,460000	9,250000
304421	9,770000	10,050000	9,250000
304429	10,320000	10,460000	9,250000
304435	10,470000	10,470000	9,250000
304442	10,190000	10,210000	9,250000
304449	9,700000	9,620000	9,250000
304456	9,190000	9,280000	9,250000
304462	8,970000	9,080000	9,250000
304470	9,250000	9,430000	9,250000
304477	9,750000	10,030000	9,250000
304483	10,270000	10,470000	9,250000
304490	10,440000	10,510000	9,250000
304497	10,210000	10,150000	9,250000
304504	9,680000	9,640000	9,250000
304512	9,190000	9,200000	9,250000
304518	9,040000	9,080000	9,250000
304525	9,240000	9,510000	9,250000
304532	9,780000	10,030000	9,250000
304538	10,280000	10,410000	9,250000
304545	10,460000	10,460000	9,250000
304552	10,140000	10,120000	9,250000
304560	9,670000	9,730000	9,250000
304567	9,220000	9,260000	9,250000
304573	9,030000	9,200000	9,250000
304580	9,310000	9,450000	9,250000
304587	9,760000	10,020000	9,250000
304594	10,260000	10,370000	9,250000
304601	10,450000	10,480000	9,250000
304608	10,230000	10,160000	9,250000
304615	9,780000	9,690000	9,250000
304622	9,260000	9,260000	9,250000
304628	9,090000	9,160000	9,250000
304635	9,270000	9,440000	9,250000
304643	9,760000	9,990000	9,250000
304649	10,230000	10,410000	9,250000
304656	10,430000	10,500000	9,250000
304663	10,230000	10,190000	9,250000
304670	9,740000	9,730000	9,250000
304677	9,310000	9,290000	9,250000
304684	9,100000	9,170000	9,250000
304691	9,220000	9,490000	9,250000
304698	9,700000	9,890000	9,250000
304704	10,160000	10,320000	9,250000
304711	10,420000	10,450000	9,250000
304718	10,250000	10,240000	9,250000
304726	9,820000	9,840000	9,250000
304732	9,340000	9,380000	9,250000
304739	9,130000	9,200000	9,250000
304746	9,220000	9,440000	0,000000
304753	9,590000	9,870000	0,000000
304759	10,130000	10,280000	0,000000
304766	10,350000	10,350000	0,000000
304774	10,240000	10,260000	0,000000
304781	9,870000	9,840000	0,000000
304788	9,400000	9,450000	0,000000
304794	9,170000	9,220000	0,000000
304801	9,180000	9,400000	0,000000
304808	9,570000	9,810000	0,000000
304815	9,980000	10,210000	0,000000
304822	10,310000	10,300000	0,000000
304829	10,300000	10,180000	0,000000
304836	9,920000	9,940000	0,000000
304842	9,450000	9,450000	0,000000
304849	9,230000	9,270000	0,000000
304857	9,280000	9,390000	0,000000
304864	9,510000	9,670000	0,000000
304870	9,910000	10,110000	0,000000
304877	10,190000	10,310000	0,000000
304884	10,260000	10,220000	0,000000
304891	9,990000	9,970000	0,000000
304898	9,590000	9,580000	0,000000
304905	9,310000	9,380000	0,000000
304912	9,240000	9,460000	0,000000
304919	9,460000	9,670000	0,000000
304925	9,820000	10,030000	0,000000
304932	10,130000	10,210000	0,000000
304940	10,230000	10,180000	0,000000
304947	9,990000	10,010000	0,000000
304953	9,650000	9,700000	0,000000
304960	9,340000	9,440000	0,000000
304967	9,300000	9,430000	0,000000
304974	9,500000	9,670000	0,000000
304980	9,730000	9,930000	0,000000
304988	10,040000	10,140000	0,000000
304995	10,190000	10,180000	0,000000
305002	10,010000	10,000000	0,000000
305008	9,700000	9,770000	0,000000
305015	9,470000	9,570000	0,000000
305022	9,350000	9,480000	0,000000
305030	9,430000	9,610000	0,000000
305036	9,700000	9,950000	0,000000
305043	9,970000	10,090000	0,000000
305050	10,070000	10,170000	0,000000
