time	CH1	CH2	CH3
1699	9,750000	9,800000	0,000000
1705	9,730000	9,810000	0,000000
1713	9,760000	9,800000	0,000000
1719	9,740000	9,810000	0,000000
1726	9,740000	9,810000	0,000000
1732	9,730000	9,840000	0,000000
1739	9,740000	9,830000	0,000000
1746	9,730000	9,830000	0,000000
1753	9,720000	9,830000	0,000000
1760	9,720000	9,850000	0,000000
1766	9,740000	9,860000	0,000000
1773	9,750000	9,840000	0,000000
1779	9,730000	9,830000	0,000000
1786	9,730000	9,820000	0,000000
1794	9,760000	9,800000	0,000000
1800	9,750000	9,830000	0,000000
1807	9,770000	9,850000	0,000000
1813	9,740000	9,870000	0,000000
1820	9,740000	9,820000	0,000000
1826	9,730000	9,800000	0,000000
1833	9,710000	9,810000	0,000000
1841	9,720000	9,820000	0,000000
1847	9,710000	9,850000	0,000000
1854	9,730000	9,850000	0,000000
1860	9,730000	9,800000	0,000000
1867	9,730000	9,810000	0,000000
1874	9,760000	9,800000	0,000000
1881	9,720000	9,810000	0,000000
1888	9,730000	9,810000	0,000000
1894	9,720000	9,830000	0,000000
1901	9,740000	9,810000	0,000000
1907	9,750000	9,790000	0,000000
1914	9,710000	9,860000	0,000000
1921	9,730000	9,810000	0,000000
1928	9,740000	9,830000	0,000000
1935	9,740000	9,780000	0,000000
1941	9,730000	9,830000	0,000000
1948	9,760000	9,810000	0,000000
1954	9,720000	9,830000	0,000000
1961	9,740000	9,790000	0,000000
1968	9,740000	9,830000	0,000000
1975	9,730000	9,840000	0,000000
1982	9,740000	9,810000	0,000000
1988	9,730000	9,820000	0,000000
1995	9,700000	9,840000	0,000000
2001	9,750000	9,830000	0,000000
2009	9,760000	9,810000	0,000000
2016	9,730000	9,830000	0,000000
2022	9,740000	9,810000	0,000000
2029	9,750000	9,820000	0,000000
2035	9,740000	9,810000	0,000000
2042	9,740000	9,800000	0,000000
2049	9,730000	9,830000	0,000000
2056	9,740000	9,810000	0,000000
2063	9,730000	9,840000	0,000000
2069	9,730000	9,870000	0,000000
2076	9,720000	9,820000	0,000000
2082	9,750000	9,800000	0,000000
2089	9,780000	9,810000	0,000000
2096	9,740000	9,800000	0,000000
2103	9,720000	9,840000	0,000000
2110	9,750000	9,860000	0,000000
2116	9,740000	9,820000	0,000000
2123	9,740000	9,820000	0,000000
2129	9,740000	9,810000	0,000000
2137	9,730000	9,820000	0,000000
2143	9,710000	9,850000	0,000000
2150	9,740000	9,840000	0,000000
2157	9,760000	9,800000	0,000000
2163	9,700000	9,840000	0,000000
2170	9,740000	9,820000	0,000000
2177	9,730000	9,840000	0,000000
2184	9,750000	9,810000	0,000000
2190	9,750000	9,830000	0,000000
2197	9,740000	9,850000	0,000000
2204	9,730000	9,830000	0,000000
